,sc_user,sc_repost,sc_time,repost_num,like_num,original_weibo
622,https://weibo.com/6572262674,鲸落羡：想起来还是开心生日当天高高兴兴，战战，明年生日会更开心哦//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
623,https://weibo.com/1588124840,女少采彡：晚安，可爱的海绵宝宝，可爱的肖战//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
624,https://weibo.com/7310461090,拨雪寻春Spring：靠，我才知道！！！//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
625,https://weibo.com/3759151773,湖水是芥末辣哭的蓝色：肖肖晚安💤，永远过最盛大的生日//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
626,https://weibo.com/5322241442,薜荔宜笑：回复@X玖少年团肖战DAYTOY:哥哥，明年也要陪你过生日//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
627,https://weibo.com/5624333186,不吃茄子Zz：//@孤独的宇宙x:明年还是要跟哥哥一起过生日过生日是开心的事情，所有善意的祝福都会给你力量的//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
628,https://weibo.com/5684255790,奶茶上瘾重度患者：呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜我好想你//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
629,https://weibo.com/3967376587,本麦和那个迟来的夏天：宝贝晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
630,https://weibo.com/6397845098,怂唧唧-：可爱宝贝晚安，明天会有好事发生。//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:52,转发,赞,5.0
631,https://weibo.com/6390064551,肖战今天发微博了ma：肖战 我希望你每天都过生日 生日快乐每天快乐 //@xxxxriristillonline:可爱宝贝，晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月12日 23:51,转发,赞,5.0
632,https://weibo.com/7508115669,和战战一起成为更好的我：@X玖少年团肖战DAYTOY ，哥，明年我也还会陪你一起过生日,11月12日 23:51,转发,赞,5.0
633,https://weibo.com/5594472176,炎炎不想起床：宝宝 你怎么这么好哄//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:50,转发,赞,5.0
634,https://weibo.com/6976202822,Cobbler丨甜甜甜甜甜甜甜兔桃：宝贝天天开心//@xxxxriristillonline:可爱宝贝，晚安//@X玖少年团肖战DAYTOY: 我枯了 ¡评论配图,11月12日 23:50,转发,赞,5.0
635,https://weibo.com/6572262674,鲸落羡：这世界上最不会骗人最善良的还是海绵宝宝吧，他不会两面三刀不会落井下石不会阴谋诡计，他是派大星最好的朋友//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
636,https://weibo.com/5772289942,孤独的宇宙x：明年还是要跟哥哥一起过生日过生日是开心的事情，所有善意的祝福都会给你力量的//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发 1,赞,5.0
637,https://weibo.com/6196611763,不可抗力-而已：晚安，宝//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
638,https://weibo.com/7299841934,坚果被从头lu到尾：晚安啦//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
639,https://weibo.com/6423573473,ssccthstar：可爱宝，晚安。//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
640,https://weibo.com/1898418122,轻薄的的的的萌萌哒：哥，别难过//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
641,https://weibo.com/6352341900,茄子喂薯片：宝贝晚安啦，开开心心哒//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
642,https://weibo.com/5233205321,桃桃乐宝：我好想你//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:49,转发,赞,5.0
643,https://weibo.com/3184794512,烂脸的小女孩：哥哥晚安//@X玖少年团肖战DAYTOY:我枯了 ¡评论配图,11月12日 23:47,转发,赞,5.0
644,https://weibo.com/5809913431,西莫DAYTOY：好喜欢这个！！#肖战1005生日快乐#,10月6日 00:16,转发 606,1138,6.0
645,https://weibo.com/2170436132,-Awide-：太用心太好看了…肖肖 我们都好喜欢你#肖战1005生日快乐#,10月6日 00:07,转发 343,137,6.0
646,https://weibo.com/6583976665,肖战_bot：好喜欢#肖战1005生日快乐#,10月5日 23:58,转发 334,659,6.0
647,https://weibo.com/videoxz,肖战全平台安利组：#肖战1005生日快乐#【2020.10.06-虾圈产粮安利】画下心中之人，陪你春夏秋冬,10月6日 20:26,转发 274,1575,6.0
648,https://weibo.com/6021425044,初壹子：太牛了吧#肖战1005生日快乐#,10月6日 00:01,转发 232,赞,6.0
649,https://weibo.com/6571295178,你该美丽中带着刺：颜料、小面包、猫粮、剧本、耳机和纸飞机。这些组成了你，却不能概括你。在你展露出一万分之一的魅力的时候，我不可能不爱上你。#肖战#,10月10日 08:23,转发 216,318,6.0
650,https://weibo.com/Makotofushimi,一菜二白：肖战的每一面都是宝藏#肖战1005生日快乐# #肖战吹蜡烛#,10月5日 23:59,转发 142,113,6.0
651,https://weibo.com/2860212374,奥特团子：#肖战1005生日快乐# 肖战生日快乐,10月6日 00:01,转发 114,198,6.0
